CUI,Hnum,DB_ref,refcode,disease,description,category,pathways,gene,pathogen,Env-factor,carcinogen,marker,drug,comment,other_DB
C0001193,H01756,MeSH,D000168,Pfeiffer syndrome,"""Pfeiffer syndrome is a rare autosomal dominant disorder characterized by craniosynostosis, brachycephaly, midface hypoplasia, and broad and deviated thumbs and great toes. Based on the severity of the phenotype, Pfeiffer syndrome is divided into three subtypes. Type 1 involves individuals with mild manifestations including brachycephaly, midface hypoplasia and finger and toe abnormalities. It is associated with normal intelligence and generally good outcome. Type 2 consists of cloverleaf skull, extreme proptosis, finger and toe abnormalities, elbow ankylosis or synostosis, developmental delay and neurological complications. Type 3 is similar to type 2 but without a cloverleaf skull. Mutations of the FGFR1 gene or FGFR2 gene can cause Pfeiffer syndrome.""",Developmental disorder; Skeletal dysplasia,,"""FGFR1 [HSA:2260] [KO:K04362], FGFR2 [HSA:2263] [KO:K05093]""",,,,,,See also H00458 Craniosynostosis.,"""ICD-10: Q87.0, MeSH: D000168, OMIM:101600"""
C0001193,H01991,MeSH,D000168,Saethre-Chotzen syndrome,"""Saethre-Chotzen syndrome (SCS) is an autosomal dominant disease characterized by craniosynostosis, ptosis, and limb and external ear abnormalities. Mutations in the TWIST gene have been extensively reported in SCS. In addition, mutations in FGFR2 was also detected.""",Developmental disorder; Skeletal dysplasia,,"""TWIST1 [HSA:7291] [KO:K09069], FGFR2 [HSA:2263] [KO:K05093]""",,,,,,,"""ICD-10: Q87.0, MeSH: D000168, OMIM: 101400"""
C0001206,H01483,MeSH,D000172,Acromegaly,"""Acromegaly (ACM) is a disorder characterized by increased circulating GH and IGF-I (a GH-induced liver protein) levels that is associated with significant morbidity and excess mortality. Patients with persistently elevated GH and IGF-I levels have an increased risk of multiple comorbidities, including left ventricular dysfunction, obstructive sleep apnea, arthritis, impaired glucose tolerance, and colonic polyps. Most cases of ACM occur as a result of a sporadic GH-secreting pituitary adenoma (PA). However, ACM can occur in a familial setting, either associated with other endocrine abnormalities or as an isolated disorder. Somatic activating mutations in the GNAS gene, which encodes for the Gs-alpha subunit of G-proteins, are found in up to 40% of sporadic GH-secreting PA. Familial ACM can occur in the context of rare inherited syndromes such as familial isolated pituitary adenoma (FIPA), which is caused in 15-20% of cases by aryl hydrocarbon receptor interacting protein (AIP) gene germline mutations. Moreover, a recurrent mutation was found in GPR101 in some patients with non-familial ACM.""",Endocrine disease,,"""AIP [HSA:9049] [KO:K17767], GNAS [HSA:2778] [KO:K04632], GPR101 [HSA:83550] [KO:K08423]""",,,,IGF1 [HSA:3479] [KO:K05459],"""Octreotide [DG:DG00501], Lanreotide [DR:D04666], Cabergoline [DR:D00987], Pegvisomant [DR:D05394], Tamoxifen [DR:D08559]""",,"""ICD-10: E22.0, MeSH: D000172, OMIM: 300943 102200"""
C0001261,H01325,MeSH,D000196,Actinomycosis,"""Actinomycosis is an uncommon chronic granulomatous infection caused by several members of the order Actinomycetales, most notably, Actinomyces israelii. Additional species that are established but less common causes of actinomycosis include A. naeslundii/viscosus complex, A. odontolyticus, A. meyeri and A. gerencseriae.""",Infectious disease,,,"""  Actinomyces israelii, Actinomyces naeslundii, Actinomyces viscosus, Actinomyces odontolyticus, Actinomyces meyeri, Actinomyces gerencseriae""",,,,,See also H01451 Actinomycetoma and H00345 Nocardiosis.,"""ICD-10: A42, MeSH: D000196, MedlinePlus: 000599"""
C0001403,H01598,MeSH,D000224,"""Addison's disease, Primary adrenal insufficiency, Hypoadrenocorticism""","""Primary adrenocortical insufficiency, also known as Addison's disease, is a rare but fatal endocrine disorder characterized by the progressive destruction of the adorenal cortex, resulting in insufficient production of glucocorticoids, mineralocorticoids, and adrenal androgens. Although tuberculosis remains a significant cause in developing countries, autoimmune adrenalitis is the most common cause of Addison's disease in developed nations. It has also been reported that DAX1 mutations result in X-linked adrenal hypoplasia congenita (X-linked Addison disease). The clinical manifestations before a life-threatening adrenal crisis (shock, hypotension, and volume depletion) are subtle and can include hyperpigmentation, fatigue, anorexia, orthostasis, nausea, muscle and joint pain, and salt craving. Symptoms are gradual and worsen over a period of years, making early diagnosis difficult. Treatment for Addison's disease consists of lifelong hormone therapy with glucocorticoids and mineralocorticoids.""",Endocrine System Disease,,NR0B1 [HSA:190] [KO:K08562],,,,"""Low cortisol level, Normal to high potassium level, Low to normal sodium level""","""Prednisone [DR:D00473], Hydrocortisone [DR:D00088 D00165 D00978 D01619], Dexamethasone [DR:D00292 D00975], Fludrocortisone [DR:D00986], Dehydroepiandrosterone [DR:D01616]""",,"""ICD-10: E27.1, MeSH: D000224, OMIM: 240200 300200"""
C0001487,H00371,MeSH,D000258,"""Adenovirus infection, including: Viral conjunctivitis [DS:H01320]""","""Adenoviruses (Ads) are recognized as etiologic agents of the respiratory and gastrointestinal tracts, eye, kidney, and, more recently, of other organs as a consequence of solid organ and bone marrow transplantations with their associated immunosuppression. Ads are rarely associated with severe clinical symptoms in healthy individuals. In contrast, in the pediatric population, military recruits, and immunocompromised individuals, Ad infections often result in disseminated and potentially life-threatening disease. Ocular Ad infections are among the leading causes of viral conjunctivitis. There is currently no formally approved antiviral therapy for the treatment of severe Ad keratoconjunctivitis and life-threatening Ad infections in immunocompromised patients.""",Infectious disease,,,"""  Human mastadenovirus A, Human mastadenovirus B [GN:T40100], Human mastadenovirus C, Human mastadenovirus D [GN:T40102], Human mastadenovirus E [GN:T40101], Human mastadenovirus F""",,,,,,"""ICD-10: B97.0, MeSH: D000258"""
C0001618,H00033,MeSH,D000306,Adrenal carcinoma,"""Adrenocortical carcinoma (ACC) is a rare endocrine malignancy defined by a heterogeneous clinical presentation, dismal prognosis, and lack of effective therapeutic regimens. The incidence of ACC ranges from 0.5 to 2 cases per million people per year, accounting for 0.02% of all reported cancers. Unfortunately, most patients present with metastatic disease which reduces the 5 year survival rate to less than 10%. Oncogenes and tumor-suppressor genes involved in adrenal carcinomas include mutations in the p53 tumor-suppressor gene and rearrangements of the chromosomal locus 11p15.5 associated with IGF II hyperexpression. Deletions of the ACTH receptor gene have recently been found in undifferentiated adenomas and in aggressive ACCs.""",Cancer,,"""ACTH-R (deletion) [HSA:4158] [KO:K04200], GNAI2 (mutation) [HSA:2771] [KO:K04630], N-ras (mutation) [HSA:4893] [KO:K07828], IGF II (overexpression) [HSA:3481] [KO:K13769], p53 (LOH, mutation) [HSA:7157] [KO:K04451], p16/INK4A (LOH, low expression) [HSA:1028] [KO:K09993], MEN1 (LOH, mutation) [HSA:4221] [KO:K14970]""",,,,"""Ki-67 [HSA:4288], p21 [HSA:1026], p27 [HSA:1027]""",Mitotane [DR:D00420],"""ICD-O: 8370/3, Tumor type: Adrenal cortical carcinoma""","""ICD-10: C74, MeSH: D000306"""
C0001627,H00216,MeSH,D000312,Congenital adrenal hyperplasia (CAH),Congenital adrenal hyperplasia is a group of monogenic autosomal recessive disorders due to an enzyme deficiency in steroid biosynthesis. All the adrenal hyperplasia syndromes are examples of mixed hypo- and hyperadrenocorticism.,Inherited metabolic disease; Endocrine disease,,"""(Type1) STAR; steroidogenic acute regulatory protein [HSA:6770] [KO:K16931], (Type1) CYP11A; cholesterol monooxygenase [HSA:1583] [KO:K00498], (Type2) HSD3B2; 3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [HSA:3284] [KO:K00070], (Type3) CYP21A2; steroid 21-monooxygenase [HSA:1589] [KO:K00513], (Type4) CYP11B1; steroid 11beta-monooxygenase [HSA:1584] [KO:K00497], (Type5) CYP17A1; steroid 17alpha-monooxygenase [HSA:1586] [KO:K00512], POR; cytochrome p450 oxidoreductase [HSA",,,,,"""Hydrocortisone [DG:DG00012], Dexamethasone [DG:DG00011], Prednisolone [DG:DG00093], Fludrocortisone [DG:DG00506]""",,"""ICD-10: E25.0, MeSH: D000312, OMIM: 201710 201810 201910 202010 613571"""
C0001627,H00599,MeSH,D000312,"""46,XX disorders of sex development (Disorders related to androgen excess), including: Congenital adrenal hyperplasias, Glucocorticoid resistance, Aromatase deficiency""","""46,XX disorder of sex development (46,XX DSD) is a condition in which the individual shows ambiguous genitalia with a 46,XX karyotype. Excess androgen during the critical period of sexual differentiation can lead to 46,XX fetus virilization. Congenital adrenal hyperplasias (CAH) and other genetic disorders in fetuses impair steroidogenesis, resulting in shunting of cortisol precursors to androgen synthesis and accumulation of the product. Masculinization of female fetuses is described in mothers harboring androgen-producing tumors. Luteoma of pregnancy is the most common source of these maternal-derived androgens.""",Reproductive system disease,,"""(Fetal) CYP21A2 [HSA:1589] [KO:K00513], (Fetal) CYP11B1 [HSA:1584] [KO:K00497], (Fetal) HSD3B2 [HSA:3284] [KO:K00070], (Fetal) GR [HSA:2908] [KO:K05771], (Fetal, Fetoplacental) POR [HSA:5447] [KO:K00327], (Fetoplacental) CYP19A1 [HSA:1588] [KO:K07434]""",,"""Maternal luteoma of pregnancy, Maternal adrenal adenoma, Maternal Krukenberg tumor, Maternal adrena",,,,,"""ICD-10: E25.0 E25.8, MeSH: D058489 D000312 C537436, OMIM: 201910 202010 201810 613571 613546"""
C0001768,H00085,MeSH,D000361,"""Agammaglobulinemias, including the following six diseases: X-linked agammaglobulinemia (Bruton's agammaglobulinemia, XLA), IgM heavy chain gene deletions, Ig-alpha defect, Autosomal recessive agammaglobulinaemia, B cell-linker protein (BLNK) deficiency, Leucine-rich repeat-containing 8""","""There are three major categories of antibody deficiencies: (a) defects in early B cell development, (b) hyper-IgM syndromes (also called class switch recombination defects), and (c) common variable immunodeficiency (CVID). Category (a) consists of agammaglobulinaemias. Defects in early B cell development are characterized by the onset of recurrent bacterial infections in the first 5 years of life, profound hypogammaglobulinemia, markedly reduced or absent B cells in the peripheral circulation, and (in the bone marrow) a severe block in B cell differentiation before the production of surface immunoglobulin-positive B cells. Mutations in Btk, the gene responsible for X-linked agammaglobulinemia (XLA), account for approximately 85% of affected patients. Approximately half of the remaining patients have mutations in genes encoding components of the pre-B cell receptor (pre-BCR) or BCR, including mu heavy chain (IGHM); the signal transduction molecules Ig-alpha (CD79A) and Ig-beta (CD79B); and lambda 5 (IGLL1), which forms the surrogate light chain with Vpre-B. A small number of patients with defects in BLNK, a scaffold protein that assembles signal transduction molecules activated by cross-linking of the BCR, have been reported.""",Primary immunodeficiency,,"""Btk [HSA:695] [KO:K07370], CD79a [HSA:973] [KO:K06506], mu (IGHM), lamda 5(CD179B) [HSA:3543] [KO:K06554], BLNK [HSA:29760] [KO:K07371], LRRC8 [HSA:56262 23507 84230 55144 80131] [KO:K22038], CD79B [HSA:974] [KO:K06507]""",,,,,,,"""ICD-10: D80, MeSH: D000361, OMIM: 601495 613500 613501 613502 613506 612692 300755"""
C0001768,H01725,MeSH,D000361,Primary immunodeficiency diseases,"""Primary immunodeficiency diseases (PIDs) are genetically determined disorders of the immune system resulting in greatly enhanced susceptibility to infectious disease, autoimmunity and malignancy. Many are associated with single gene defects, whereas others may be polygenic or may represent interactions of genetically determined characteristics with environmental or infectious stresses. There are more than 150 different disorders which have been described till date. PIDs are broadly classified as disorders of adaptive immunity (i.e., T-cell, B-cell or combined immunodeficiencies) or of innate immunity (e.g., phagocyte and complement disorders).  Early diagnosis and treatment are imperative for preventing significant disease-associated morbidity.""",Immune system disease,,,,,,,,"""See [DS:H00085], [DS:H00086], [DS:H00087], [DS:H00088], [DS:H00089], [DS:H00090], [DS:H00091], [DS:H00092], [DS:H00093], [DS:H00094], [DS:H00095], [DS:H00096], [DS:H00097], [DS:H00098], [DS:H00099], [DS:H00100], [DS:H00101], [DS:H00102], [DS:H00103], [DS:H00104], [DS:H00105], [DS:H00106], [DS:H00107], [DS:H00108], [DS:H00109], [DS:H00939], [DS:H01218], [DS:H01240], [DS:H01244], [DS:H01245], [DS:H01387], [DS:H01523] and [DS:H01524].""","""ICD-10: D69 D70 D71 D76 D80 D81 D82 D84, MeSH: D000361 D053306 D017074 D053632 D001260 D049932 D564694 D0001816 D006105 D056735 D016553 D014923 D004062"""
C0001787,H01593,MeSH,D010024,Osteoporosis,"""Osteoporosis is a common disease characterised by a generalised reduction in bone mineral density (BMD), microarchitectural deterioration of bone tissue and an increased risk of fracture. Since BMD values fall progressively with age, the prevalence of osteoporosis increases with age. It has been estimated that approximately 50% of all women will have osteoporosis by the age of 80. Studies in twins and families indicate that genetic factors play an important role in the regulation of BMD and other determinants of osteoporotic fracture risk. Osteoporosis is a polygenic disorder, determined by the effects of several genes, each with relatively modest effects. Population-based studies and case-control studies have similarly identified polymorphisms in several candidate genes that have been associated with bone mass or osteoporotic fracture, including the vitamin D receptor, oestrogen receptor and collagen gene. Bisphosphonates, and in some patients denosumab, are first-line drugs for osteoporosis.""",Skeletal dysplasia,,"""PDLIM4 (polymorphism) [HSA:8572], CALCR (polymorphism) [HSA:799] [KO:K04576], COL1A1 (polymorphism) [HSA:1277] [KO:K06236], COL1A2 (polymorphism) [HSA:1278] [KO:K06236], LRP5 (polymorphism) [HSA:4041] [KO:K03068], VDR (polymorphism) [HSA:7421] [KO:K08539], TGFB1 (polymorphism) [HSA:7040] [KO:K13375], PTH (polymorphism) [HSA:5741] [KO:K05261], UGT2B17 (polymorphism) [HSA:7367] [KO:K00699], MIR2861 (polymorphism) [HSA:100422910], WNT1 (polymorphism) [HSA:7471] [KO:K03209], LGR4 (polymorphism) [HS",,,,,"""Risedronate [DR:D03234] Ibandronate [DR:D04486] Alendronate [DR:D00939] Zoledronate [DR:D01968] (Bisphosphonate), Denosumab [DR:D03684] (anti-RANKL antibody), Teriparatide [DR:D06078] (Parathyroid hormone), Strontium ranelate [DR:D08468], Raloxifene [DR:D02217] (Selective estrogen receptor modulator)""",,"""ICD-10: M80 M81 M82, MeSH: D010024, OMIM: 166710 603506 612560 613418 615220 615311 300910"""
C0001815,H01605,MeSH,D055728,Myelofibrosis,"""Myelofibrosis (MF), one of the three classic Philadelphia-chromosome-negative myeloproliferative neoplasms (MPNs), is characterized by symptoms mainly derived from anemia and splenomegaly and constitutional symptoms and associated with a median survival around 6 years. Most MPN patients harbor an acquired mutation in the hemopoietic cells, the V617F mutation, located in the pseudokinase domain of the JAK2 gene. This mutation results in a gain of function, i.e., in the constitutive activation of the JAK-STAT pathway, which plays an important role in the proliferation, differentiation, and survival of the hemopoietic cells, as well as in the immune function. Besides, a minority of patients with MF (most of them negative for the JAK2 mutation) harbor other JAK-STAT-activating mutation, the MPL mutation, in the gene of the receptor of the thrombopoietin. Recently, mutations in the CALR gene have been described in 86% of cases with primary MF that are negative for JAK2 or MPL mutations. CALR mutation also showed cytokine independent growth of cells due to activation of STAT5 involved with the JAK-STAT pathway but its exact role in MPN remains to be clarified.""",Cancer; Hematologic disease,,"""MPL [HSA:4352] [KO:K05082], JAK2 [HSA:3717] [KO:K04447], CALR [HSA:811] [KO:K08057]""",,,,,"""Ruxolitinib [DR:D09960], Fedratinib [DR:D10630]""",ICD-0-3: 9961/3 Primary myelofibrosis,"""ICD-10: C94.4 D47.4 D75.8, MeSH: D055728"""
C0001824,H00100,ICD-10,D70,"""Neutropenic disorders, including the following three diseases: Kostmann syndrome, Cyclic neutropenia, X-linked neutropenia/myelodysplasia""","""Neutropenias represent a series of potentially life-threatening disorders characterised by a reduction in circulating neutrophils. Since neutrophils play a major role in host defense against bacteria, neutropenia patients suffer from frequent episodes of opportunistic bacterial infections. Severe congenital neutropenia (SCN) is a rare neutropenia with a bone marrow maturation arrest of granulocytic differentiation. Kostmann syndrome is an autosomal recessive SCN. The characteristic maturation arrest and the lack of mature neutrophils in peripheral blood of patients with Kostmann syndrome can be explained by the deletion of an anti-apoptotic factor (HAX-1) in myeloid cells of these patients. Heterozygous mutations in the protooncogene growth factor-independent 1 (GFI1) gene are also associated with SCN. In patients with autosomal dominant cyclic neutropenia (CyN), a condition with oscillating neutrophil counts but less severe clinical symptoms, heterozygous mutations in ELA-2/ELANE were discovered. Patients with X-linked severe congenital neutropenia (SCN) have been reported with activating mutations in WASp leading to a constitutively-active form of the protein, and unregulated actin polymerization.""",Primary immunodeficiency,,"""HAX1 [HSA:10456] [KO:K16220], GFI1 [HSA:2672] [KO:K09223], ELA2 [HSA:1991] [KO:K01327], WAS [HSA:7454] [KO:K05747]""",,,,,"""Filgrastim [DR:D03235], Lenograstim [DR:D03247], Nartograstim [DR:D03245]""",,"""ICD-10: D70, OMIM: 610738 613107 202700 300299"""
C0001906,H00372,MeSH,D012899,"""Smallpox, Variola""","""Smallpox is a contagious disease caused by the variola virus, one of the Orthopoxviruses that causes skin eruption and marked toxemia. There were two distinct clinical varieties of smallpox: variola major with a case fatality rate of 30% and variola minor with milder severity. Smallpox is an old disease that spread throughout the world causing death in millions of people.""",Infectious disease,,,  Variola virus [GN:T40082],,,,Smallpox vaccine [DR:D05295],,"""ICD-10: B03, MeSH: D012899, MedlinePlus: 001356"""
C0001956,H01611,MeSH,D000437,Alcohol dependence,"""Alcohol dependence (AD) is a chronic but often disease that includes problems in controlling one's drinking, being preoccupied with alcohol, continuing to use alcohol even when it causes problems, having to drink more to get the same effect (physical dependence), or having withdrawal symptoms when one rapidly decreases or stops drinking. The contribution of genetic factors to the development of AD is high. The best classical candidate genes for AD are alcohol dehydrogenase (ADH) and aldehyde dehydrogenase (ALDH). Both genes are involved in enzymatic degradation of alcohol. Recent genome-wide association studies (GWAS) have reported that the most robust associations for AD have been with such enzyme genes, especially ALDH2 in East Asian populations and ADH1B in European American and African American populations.""",Nervous system diseases; Other nervous system diseases,,"""ALDH2 (polymorphism) [HSA:217] [KO:K00128], ADH1B (polymorphism) [HSA:125] [KO:K13951], OPRM1 (polymorphism) [HSA:4988] [KO:K04215], DRD2 (polymorphism) [HSA:1813] [KO:K04145]""",,,,,"""Naltrexone [DR:D05113], Acamprosate [DR:D07058], Disulfiram [DR:D00131], Nalmefene [DR:D05111], Baclofen [DR:D00241], Ondansetron [DR:D00456], Sertraline [DR:D02360], Topiramate [DR:D00537]""",,"""ICD-10: F10.2 F10.5, MeSH: D000437"""
C0001973,H01611,MeSH,D000437,Alcohol dependence,"""Alcohol dependence (AD) is a chronic but often disease that includes problems in controlling one's drinking, being preoccupied with alcohol, continuing to use alcohol even when it causes problems, having to drink more to get the same effect (physical dependence), or having withdrawal symptoms when one rapidly decreases or stops drinking. The contribution of genetic factors to the development of AD is high. The best classical candidate genes for AD are alcohol dehydrogenase (ADH) and aldehyde dehydrogenase (ALDH). Both genes are involved in enzymatic degradation of alcohol. Recent genome-wide association studies (GWAS) have reported that the most robust associations for AD have been with such enzyme genes, especially ALDH2 in East Asian populations and ADH1B in European American and African American populations.""",Nervous system diseases; Other nervous system diseases,,"""ALDH2 (polymorphism) [HSA:217] [KO:K00128], ADH1B (polymorphism) [HSA:125] [KO:K13951], OPRM1 (polymorphism) [HSA:4988] [KO:K04215], DRD2 (polymorphism) [HSA:1813] [KO:K04145]""",,,,,"""Naltrexone [DR:D05113], Acamprosate [DR:D07058], Disulfiram [DR:D00131], Nalmefene [DR:D05111], Baclofen [DR:D00241], Ondansetron [DR:D00456], Sertraline [DR:D02360], Topiramate [DR:D00537]""",,"""ICD-10: F10.2 F10.5, MeSH: D000437"""
C0002018,H01899,MeSH,D004410,Dyslexia,"""Dyslexia is defined by severe difficulties in reading acquisition, often accompanied by spelling difficulties and affects a large number of people (5-10%). It is caused by multiple genetic and environmental risk factors as well as their interplay. Several candidate genes have been identified in the past decade. However, effects of individual genetic variations on dyslexia-associated deficits are only moderate. At the brain level, dyslexia is associated with aberrant structure and function, particularly in left hemisphere reading-language networks.""",Nervous system disease,,"""DNAAF4 [HSA:161582] [KO:K19758], AAVR [HSA:9856]""",,,,,,,"""ICD-10: R48.0, MeSH: D004410, OMIM: 127700 600202"""
C0002066,H00163,MeSH,D000474,Alkaptonuria,"""Alkaptonuria is a rare, inherited defect of homogentisic acid 1,2-dioxygenase that leads to the widespread deposition of polymeric homogentisic acid, and clinical symptoms from degeneration of joints and the aortic valve.""",Inherited metabolic disease,,"""HGD; homogentisate 1,2-dioxygenase [HSA:3081] [KO:K00451]""",,,,Homogentisate [CPD:C00544],Ascorbic acid [DG:DG00126],,"""ICD-10: E70.2, MeSH: D000474, OMIM: 203500"""
