H number,Name,Description,Category,Gene,Pathogen,Env factor,Carcinogen,Marker,Drug,Comment,Other DBs,Reference,DB REF,Code_1,Code_2,Code_3,Code_4,Code_5,Code_6,Code_7,Code_8,Code_9,Code_10,Code_11,Code_12,Code_13,Code_14,Code_15,Code_16,Code_17,Code_18,Code_19,Code_20,Code_21,Code_22,Code_23,Code_24,Code_25,Code_26,Code_27,Code_28,Code_29,Code_30
H00982,"Sideroblastic anemia, including:
Pyridoxine-refractory autosomal recessive sideroblastic anemia (PRARSA);
X-linked sideroblastic anemia (XLSA);
X-linked sideroblastic anemia with ataxia (ASAT)","Sideroblastic anemias are a group of disorders characterized by anemia with the emergence of ring sideroblasts in the bone marrow. Inherited sideroblastic anemia is a rare and heterogeneous disease caused by mutations of genes involved in heme biosynthesis, iron-sulfur cluster biogenesis or transport, and mitochondrial metabolism.",Hematologic disease,"(PRARSA) SLC25A38 [HSA:54977] [KO:K15118]
(PRARSA) GLRX5 [HSA:51218] [KO:K07390]
(XLSA) ALAS2 [HSA:51218] [KO:K07390]
(ASAT) ABCB7 [HSA:22] [KO:K05662]",,,,,,Myopathy with lactic acidosis and sideroblastic anaemia (MLASA) is described in H00898. [DS:H00898],"ICD-10: D64.0 D64.3
OMIM: 205950 300751 301310","PMID:20848343
  AUTHORS   Harigae H, Furuyama K
  TITLE     Hereditary sideroblastic anemia: pathophysiology and gene mutations.
  JOURNAL   Int J Hematol 92:425-31 (2010)
DOI:10.1007/s12185-010-0688-4",OMIM,205950,300751,301310,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00832,"Core neuroacanthocytosis syndromes, including:
Chorea-acanthocytosis (ChAc);
McLeod syndrome (MLS);
Huntington's disease-like 2 (HDL2);
Pantothenate kinase associated neurodegeneration (PKAN)","Neuroacanthocytosis (NA) syndromes are a heterogeneous group of diseases in which nervous system abnormalities coincide with red blood cell acanthocytosis. Core NA syndromes are one of the broad groups of NA disorders characterized by degeneration of the basal ganglia, movement disorders, cognitive impairment, and psychiatric features. NA syndromes are caused by disease-specific genetic mutations. The mechanism by which these mutations cause neurodegeneration is not known.",Nervous system disease,"(ChAc) VPS13A [HSA:23230] [KO:K19525]
(MLS) XK [HSA:7504] [KO:K19522]
(HDL2) JPH3 [HSA:57338] [KO:K19530]
(PKAN) PANK2 [HSA:80025] [KO:K09680]",,,,,,"McLeod syndrome is described in [HD:H00655].
Chorea-acanthocytosis is described in [HD:H01432].
PKAN is allelic with HARP syndrome.","ICD-10: G23.0
OMIM: 200150 300842 606438 607236","PMID:22027213 (description, gene)
  AUTHORS   Jung HH, Danek A, Walker RH
  TITLE     Neuroacanthocytosis syndromes.
  JOURNAL   Orphanet J Rare Dis 6:68 (2011)
DOI:10.1186/1750-1172-6-68

PMID:18567359 (description, gene)
  AUTHORS   Ichiba M, Nakamura M, Sano A
  TITLE     [Neuroacanthocytosis update].
  JOURNAL   Brain Nerve 60:635-41 (2008)
DOI:10.11477/mf.1416100292",OMIM,200150,300842,606438,607236,,,,,,,,,,,,,,,,,,,,,,,,,,
H01486,Multiple congenital anomalies-hypotonia-seizures syndrome (MCAHS),"The Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome (MCAHS) comprises three phenotypes caused by mutations in PIGN, PIGA and PIGT respectively. PIGN and PIGT mutations lead to autosomal recessive disorders whereas PIGA deficiency causes an X-linked lethal disorder. Clinical features are variable dependent on genotypes, often include (neonatal) hypotonia, seizures, various anomalies involving nervous system structural malformations, delayed or lack of psychomotor development, and various congenial organ anomalies.",Inherited metabolic disease,"(MCAHS 1) PIGN [HSA:23556] [KO:K05285]
(MCAHS 2) PIGA [HSA:5277] [KO:K03857]
(MCAHS 3) PIGT [HSA:51604] [KO:K05292]",,,,,,,"ICD-10: Q87.8
OMIM: 614080 300868 615398","PMID:26879448 (description and gene)
  AUTHORS   Jezela-Stanek A, Ciara E, Piekutowska-Abramczuk D, Trubicka J, Jurkiewicz E, Rokicki D, Mierzewska H, Spychalska J, Uhrynowska M, Szwarc-Bronikowska M, Buda P, Said AR, Jamroz E, Rydzanicz M, Ploski R, Krajewska-Walasek M, Pronicka E
  TITLE     Congenital disorder of glycosylphosphatidylinositol (GPI)-anchor biosynthesis--The phenotype of two patients with novel mutations in the PIGN and  PGAP2 genes.
  JOURNAL   Eur J Paediatr Neurol 20:462-73 (2016)
DOI:10.1016/j.ejpn.2016.01.007

PMID:24259184 (description and gene)
  AUTHORS   van der Crabben SN, Harakalova M, Brilstra EH, van Berkestijn FM, Hofstede FC, van Vught AJ, Cuppen E, Kloosterman W, Ploos van Amstel HK, van Haaften G, van Haelst MM
  TITLE     Expanding the spectrum of phenotypes associated with germline PIGA mutations: a child with developmental delay, accelerated linear growth, facial dysmorphisms, elevated alkaline phosphatase, and progressive CNS abnormalities.
  JOURNAL   Am J Med Genet A 164A:29-35 (2014)
DOI:10.1002/ajmg.a.36184

PMID:23636107 (description and gene)
  AUTHORS   Kvarnung M, Nilsson D, Lindstrand A, Korenke GC, Chiang SC, Blennow E, Bergmann M, Stodberg T, Makitie O, Anderlid BM, Bryceson YT, Nordenskjold M, Nordgren A
  TITLE     A novel intellectual disability syndrome caused by GPI anchor deficiency due to homozygous mutations in PIGT.
  JOURNAL   J Med Genet 50:521-8 (2013)
DOI:10.1136/jmedgenet-2013-101654",OMIM,614080,300868,615398,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00219,"Hemophilia, including:
Hemophilia A (HEMA);
Hemophilia B (HEMB);
von Willebrand disease (VWD);
von Willebrand disease, platelet-type","Hemophilia A and B are X-linked recessive disorders which are the most common hereditary hemorrhagic disorders caused by a deficiency or dysfunction of blood coagulation factor VIII (FVIII) and factor IX (FIX), respectively. Von Willebrand disease is caused by quantitative and/or qualitative defects of von Willebrand factor and inherited in both autosomal dominant and recessive manner.",Hematologic disease,"(HEMA) F8; coagulation factor VIII [HSA:2157] [KO:K03899]
(HEMB) F9; coagulation factor IX (Christmas factor) [HSA:2158] [KO:K01321]
(VWD) VWF; von Willebrand factor [HSA:7450] [KO:K03900]
(Platelet-type) GP1BA [HSA:2811] [KO:K06261]",,,,,"Blood-coagulation factor VIII [DR:D08798 D08793]
Blood-coagulation factor IX [DR:D08797 D08794]",,"ICD-10: D66 D67 D68.0
OMIM: 306700 306900 193400 613554 277480 177820","PMID:17178659
  AUTHORS   Franchini M
  TITLE     Advances in the diagnosis and management of von Willebrand disease.
  JOURNAL   Hematology 11:219-25 (2006)
DOI:10.1080/10245330600841311

PMID:16684001
  AUTHORS   Peyvandi F, Jayandharan G, Chandy M, Srivastava A, Nakaya SM, Johnson MJ, Thompson AR, Goodeve A, Garagiola I, Lavoretano S, Menegatti M, Palla R, Spreafico M, Tagliabue L, Asselta R, Duga S, Mannucci PM
  TITLE     Genetic diagnosis of haemophilia and other inherited bleeding disorders.
  JOURNAL   Haemophilia 12 Suppl 3:82-9 (2006)
DOI:10.1111/j.1365-2516.2006.01263.x

PMID:16470522
  AUTHORS   Haberichter SL, Shi Q, Montgomery RR
  TITLE     Regulated release of VWF and FVIII and the biologic implications.
  JOURNAL   Pediatr Blood Cancer 46:547-53 (2006)
DOI:10.1002/pbc.20658

PMID:15205640
  AUTHORS   Lee JW
  TITLE     Von Willebrand disease, hemophilia A and B, and other factor deficiencies.
  JOURNAL   Int Anesthesiol Clin 42:59-76 (2004)

PMID:756222
  AUTHORS   Marzullo A, Masci P, Rovacchi G, Toti G, Dompe G
  TITLE     [Gastric leiomyoblastoma]
  JOURNAL   Arch De Vecchi Anat Patol 62:279-90 (1977)

PMID:21497427
  AUTHORS   Othman M
  TITLE     Platelet-type Von Willebrand disease: three decades in the life of a rare bleeding disorder.
  JOURNAL   Blood Rev 25:147-53 (2011)
DOI:10.1016/j.blre.2011.03.003",OMIM,306700,306900,193400,613554,277480,177820,,,,,,,,,,,,,,,,,,,,,,,,
H00547,"Atrioventricular septal defect;
Atrioventricular canal defect","Atrioventricular septal defect, also known as atrioventricular canal defect or endocardial cushion defect, is a congenital heart malformation involving the interatrial septum, interventricular septum, and atrioventricular valves. The defect is often associated with Down syndrome (trisomy 21).",Developmental disorder; Cardiovascular disease,"CRELD1 [HSA:78987]
GJA1 [HSA:2697] [KO:K07372]
GATA4 [HSA:2626] [KO:K09183]
GATA6 [HSA:2627] [KO:K17897]",,"Organic solvents
Anticonvulsants
Ibuprofen [CPD:C01588]
Sulfasalazine [CPD:C07316]
Thalidomide [CPD:C07910]
Trimethoprim-sulfonamide [DR:D00285]
Retinoic acid [CPD:C00777]
Maternal phenylketonuria
Maternal progestational diabetes
Maternal febrile illness
Maternal influenza
Maternal rubella
Maternal epilepsy",,,,,"ICD-10: Q21.2
OMIM: 606217 600309 614430 614474","PMID:15096951 (gene)
  AUTHORS   Maslen CL
  TITLE     Molecular genetics of atrioventricular septal defects.
  JOURNAL   Curr Opin Cardiol 19:205-10 (2004)

PMID:11376442 (description)
  AUTHORS   Vaughan CJ, Basson CT
  TITLE     Molecular determinants of atrial and ventricular septal defects and patent ductus arteriosus.
  JOURNAL   Am J Med Genet 97:304-9 (2000)
DOI:10.1002/1096-8628(200024)97:4<304:AID-AJMG1281>3.0.CO;2-#

PMID:17519397 (env_factor)
  AUTHORS   Jenkins KJ, Correa A, Feinstein JA, Botto L, Britt AE, Daniels SR, Elixson M, Warnes CA, Webb CL
  TITLE     Noninherited risk factors and congenital cardiovascular defects: current knowledge: a scientific statement from the American Heart Association Council on Cardiovascular Disease in the Young: endorsed by the American Academy of Pediatrics.
  JOURNAL   Circulation 115:2995-3014 (2007)
DOI:10.1161/CIRCULATIONAHA.106.183216

PMID:7805255 (description)
  AUTHORS   Payne RM, Johnson MC, Grant JW, Strauss AW
  TITLE     Toward a molecular understanding of congenital heart disease.
  JOURNAL   Circulation 91:494-504 (1995)
DOI:10.1161/01.CIR.91.2.494

PMID:11470490 (gene)
  AUTHORS   Dasgupta C, Martinez AM, Zuppan CW, Shah MM, Bailey LL, Fletcher WH
  TITLE     Identification of connexin43 (alpha1) gap junction gene mutations in patients with hypoplastic left heart syndrome by denaturing gradient gel electrophoresis (DGGE).
  JOURNAL   Mutat Res 479:173-86 (2001)
DOI:10.1016/S0027-5107(01)00160-9

PMID:17643447 (gene)
  AUTHORS   Rajagopal SK, Ma Q, Obler D, Shen J, Manichaikul A, Tomita-Mitchell A, Boardman K, Briggs C, Garg V, Srivastava D, Goldmuntz E, Broman KW, Benson DW, Smoot LB, Pu WT
  TITLE     Spectrum of heart disease associated with murine and human GATA4 mutation.
  JOURNAL   J Mol Cell Cardiol 43:677-85 (2007)
DOI:10.1016/j.yjmcc.2007.06.004

PMID:20581743 (gene)
  AUTHORS   Maitra M, Koenig SN, Srivastava D, Garg V
  TITLE     Identification of GATA6 sequence variants in patients with congenital heart defects.
  JOURNAL   Pediatr Res 68:281-5 (2010)
DOI:10.1203/00006450-201011001-00549",OMIM,606217,600309,614430,614474,,,,,,,,,,,,,,,,,,,,,,,,,,
H00293,Arrhythmogenic right ventricular cardiomyopathy (ARVC),"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is an inherited heart muscle disease that may result in arrhythmia, heart failure, and sudden death. The hallmark pathological findings are progressive myocyte loss and fibrofatty replacement, with a predilection for the right ventricle. A number of genetic studies have identified mutations in various components of the cardiac desmosome that have important roles in the pathogenesis of ARVC. Disruption of desmosomal function by defective proteins might lead to death of myocytes under mechanical stress. The myocardial injury may be accompanied by inflammation. Since regeneration of cardiac myocytes is limited, repair by fibrofatty replacement occurs. Several studies have implicated that desmosome dysfunction results in the delocalization and nuclear translocation of plakoglobin. As a result, competition between plakoglobin and beta-catenin will lead to the inhibition of Wnt/beta-catenin signaling, resulting in a shift from a myocyte fate towards an adipocyte fate of cells. The ryanodine receptor plays a crucial part in electromechanical coupling by control of release of calcium from the sarcoplasmic reticulum into the cytosol. Therefore, defects in this receptor could result in an imbalance of calcium homeostasis that might trigger cell death.",Cardiovascular disease,"JUP (mutation) [HSA:3728] [KO:K10056]
RYR2 (mutation) [HSA:6262] [KO:K04962]
DSP (mutation) [HSA:1832] [KO:K10381]
PKP2 (mutation) [HSA:5318] [KO:K12642]
TGF-beta 3 (mutation) [HSA:7043] [KO:K13377]
DSG2 (mutation) [HSA:1829] [KO:K07597]
DSC2 (mutation) [HSA:1824] [KO:K07601]
TMEM43 (mutation) [HSA:79188]",,,,,"Beta-blockers [ATC:C07A]
Sotalol [DG:DG00307]
Amiodarone [DG:DG00204]",,"ICD-10: I42
OMIM: 611528 600996 607450 609040 107970 610193 610476 604400","PMID:18001465 (gene, drug)
  AUTHORS   Thiene G, Corrado D, Basso C
  TITLE     Arrhythmogenic right ventricular cardiomyopathy/dysplasia.
  JOURNAL   Orphanet J Rare Dis 2:45 (2007)
DOI:10.1186/1750-1172-2-45

PMID:17413274 (gene)
  AUTHORS   van Tintelen JP, Hofstra RM, Wiesfeld AC, van den Berg MP, Hauer RN, Jongbloed JD
  TITLE     Molecular genetics of arrhythmogenic right ventricular cardiomyopathy: emerging horizon?
  JOURNAL   Curr Opin Cardiol 22:185-92 (2007)
DOI:10.1097/HCO.0b013e3280d942c4

PMID:18382419 (gene)
  AUTHORS   Awad MM, Calkins H, Judge DP
  TITLE     Mechanisms of disease: molecular genetics of arrhythmogenic right ventricular dysplasia/cardiomyopathy.
  JOURNAL   Nat Clin Pract Cardiovasc Med 5:258-67 (2008)
DOI:10.1038/ncpcardio1182

PMID:22426942 (gene)
  AUTHORS   Murray B
  TITLE     Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy (ARVD/C): A Review of Molecular and Clinical Literature.
  JOURNAL   J Genet Couns 21:494-504 (2012)
DOI:10.1007/s10897-012-9497-7

PMID:19362677 (drug)
  AUTHORS   Basso C, Corrado D, Marcus FI, Nava A, Thiene G
  TITLE     Arrhythmogenic right ventricular cardiomyopathy.
  JOURNAL   Lancet 373:1289-300 (2009)
DOI:10.1016/S0140-6736(09)60256-7

PMID:19205777 (drug)
  AUTHORS   Herren T, Gerber PA, Duru F
  TITLE     Arrhythmogenic right ventricular cardiomyopathy/dysplasia: a not so rare ""disease of the desmosome"" with multiple clinical presentations.
  JOURNAL   Clin Res Cardiol 98:141-58 (2009)
DOI:10.1007/s00392-009-0751-4",OMIM,611528,600996,607450,609040,107970,610193,610476,604400,,,,,,,,,,,,,,,,,,,,,,
H01216,Left ventricular noncompaction (LVNC),"Left ventricular noncompaction (LVNC) is a rare and potentially progressive cardiomyopathy, characterized by the presence of prominent trabeculations of the left ventricle, associated with progressive systolic failure, stroke and arrhythmia. It has been linked to mutations in several genes, including LIM domain binding protein 3 (ZASP), alpha-dystrobrevin (DTNA), tafazzin (TAZ/G4.5), lamin A/C (LMNA), and genes encoding the sarcomeric proteins, beta-myosin heavy chain (MYH7), alpha-cardiac actin (ACTC), and cardiac troponin T (TNNT2).",Cardiovascular disease,"ZASP (mutation) [HSA:11155] [KO:K19867]
DTNA (mutation) [HSA:1837]
TAZ (mutation) [HSA:6901] [KO:K13511]
LMNA (mutation) [HSA:4000] [KO:K12641]
MYH7 (mutation) [HSA:4625] [KO:K17751]
ACTC (mutation) [HSA:70] [KO:K12314]
TNNT2 (mutation) [HSA:7139] [KO:K12045]",,,,,,,"ICD-10: I42.8
OMIM: 604169 601493 300183","PMID:19057090 (gene, description)
  AUTHORS   Ichida F
  TITLE     Left ventricular noncompaction.
  JOURNAL   Circ J 73:19-26 (2009)
DOI:10.1253/circj.CJ-08-0995

PMID:19318934 (gene, description)
  AUTHORS   Pantazis AA, Elliott PM
  TITLE     Left ventricular noncompaction.
  JOURNAL   Curr Opin Cardiol 24:209-13 (2009)
DOI:10.1097/HCO.0b013e32832a11e7

PMID:21638988 (gene, description)
  AUTHORS   Antonio M, Costa C, Venancio M, Martins P, Dionisio T, Pires A, Sousa G, Santos I, Mota A, Duarte R, Costa H, Ribeiro L, Saraiva J, Castela E
  TITLE     Left ventricular noncompaction: analysis of a pediatric population.
  JOURNAL   Rev Port Cardiol 30:295-311 (2011)

PMID:21285074 (gene, description)
  AUTHORS   Oechslin E, Jenni R
  TITLE     Left ventricular non-compaction revisited: a distinct phenotype with genetic heterogeneity?
  JOURNAL   Eur Heart J 32:1446-56 (2011)
DOI:10.1093/eurheartj/ehq508",OMIM,604169,601493,300183,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00534,Cerebral cavernous malformation,"Cerebral cavernous malformations are vascular malformations of the central nervous system comprising enlarged caverns with a single layer of endothelium, which easily lead to cerebral hemorrhages. The disease present as either sporadic or autosomal dominant conditions and is linked to three genes KRIT1, MGC4607, and PDCD10. Mutations in KRIT1 impair its interaction with ICAP-1 alpha, a beta 1 integrin binding protein, and influence beta 1 integrin-dependent angiogenesis.",Developmental disorder; Vascular disease,"CCM1 [HSA:889] [KO:K17705]
MGC4607 [HSA:83605]
PDCD10 [HSA:11235] [KO:K18269]",,,,,,,OMIM: 116860 603284 603285,"PMID:17670762 (description, gene)
  AUTHORS   Brouillard P, Vikkula M
  TITLE     Genetic causes of vascular malformations.
  JOURNAL   Hum Mol Genet 16 Spec No. 2:R140-9 (2007)
DOI:10.1093/hmg/ddm211

PMID:16379592 (description, gene)
  AUTHORS   Wang QK
  TITLE     Update on the molecular genetics of vascular anomalies.
  JOURNAL   Lymphat Res Biol 3:226-33 (2005)
DOI:10.1089/lrb.2005.3.226",OMIM,116860,603284,603285,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01795,"Blepharophimosis-mental retardation syndrome (BMRS);
Ohdo syndrome","Blepharophimosis-mental retardation syndromes (BMRS) include a group of clinically and etiologically heterogeneous conditions, which can occur as isolated features or as part of distinct disorders displaying multiple congenital anomalies. The majority of syndromic patients with blepharophimosis show a variable degree of mental retardation. In 1986, Ohdo et al. delineated a syndrome of blepharophimosis, ptosis, hypoplastic teeth, heart defect, and mental handicap, to which his name was attached. Subsequently, several cases have been reported as Ohdo/Ohdo-like syndrome, widening the spectrum of clinical findings of BMRS, which lately were classified into five subtypes by Verloes et al: (1) del(3p) syndrome; (2) BMRS, Ohdo type; (3) BMRS, SBBYS (Say-Barber/Biesecker/Young-Simpson) type [DS:H01793]; (4) BMRS, MKB (Maat-Kievit-Brunner) type; (5) BMRS, Verloes type. BMR may also be found in relatively nonspecific developmental anomalies and in unclassified individuals, further widening the etiology of BMR disorders.",Developmental disorder; Nervous system disease,"(SBBYS type) KAT6B [HSA:23522] [KO:K11306]
(MKB type) MED12 [HSA:9968] [KO:K15162]",,,,,,,"ICD-10: Q87.8
OMIM: 613792 603736 300895","PMID:16700052 (description)
  AUTHORS   Verloes A, Bremond-Gignac D, Isidor B, David A, Baumann C, Leroy MA, Stevens R, Gillerot Y, Heron D, Heron B, Benzacken B, Lacombe D, Brunner H, Bitoun P
  TITLE     Blepharophimosis-mental retardation (BMR) syndromes: A proposed clinical classification of the so-called Ohdo syndrome, and delineation of two new BMR syndromes, one X-linked and one autosomal recessive.
  JOURNAL   Am J Med Genet A 140:1285-96 (2006)
DOI:10.1002/ajmg.a.31270

PMID:21567902 (description)
  AUTHORS   Dentici ML, Mingarelli R, Dallapiccola B
  TITLE     The difficult nosology of blepharophimosis-mental retardation syndromes: report on two siblings.
  JOURNAL   Am J Med Genet A 155A:459-65 (2011)
DOI:10.1002/ajmg.a.33642

PMID:22077973 (gene)
  AUTHORS   Clayton-Smith J, O'Sullivan J, Daly S, Bhaskar S, Day R, Anderson B, Voss AK, Thomas T, Biesecker LG, Smith P, Fryer A, Chandler KE, Kerr B, Tassabehji M, Lynch SA, Krajewska-Walasek M, McKee S, Smith J, Sweeney E, Mansour S, Mohammed S, Donnai D, Black G
  TITLE     Whole-exome-sequencing identifies mutations in histone acetyltransferase gene KAT6B in individuals with the Say-Barber-Biesecker variant of Ohdo syndrome.
  JOURNAL   Am J Hum Genet 89:675-81 (2011)
DOI:10.1016/j.ajhg.2011.10.008

PMID:23395478 (gene)
  AUTHORS   Vulto-van Silfhout AT, de Vries BB, van Bon BW, Hoischen A, Ruiterkamp-Versteeg M, Gilissen C, Gao F, van Zwam M, Harteveld CL, van Essen AJ, Hamel BC, Kleefstra T, Willemsen MA, Yntema HG, van Bokhoven H, Brunner HG, Boyer TG, de Brouwer AP
  TITLE     Mutations in MED12 cause X-linked Ohdo syndrome.
  JOURNAL   Am J Hum Genet 92:401-6 (2013)
DOI:10.1016/j.ajhg.2013.01.007",OMIM,613792,603736,300895,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00108,"Autoimmune lymphoproliferative syndromes (ALPS), including the following five diseases:
CD95 (Fas) defect, ALPS type 1a;
CD95L (Fas ligand) defect, ALPS type 1b;
Caspase 10 defect, ALPS type 2a;
Caspase 8 defext, ALPS type 2b;
Activaing N-Ras defect, N-Ras ALPS","Autoimmune lymphoproliferative syndrome (ALPS) is an autosomal dominant disorder with clinical features of various autoimmune manifestations that predominantly involve polyclonal accumulation of lymphocytes in the spleen and lymph nodes with lymphadenopathy and/or splenomegaly, and expansion of double-negative (DN) T cells in the peripheral blood. Central to the cellular pathogenesis is defective FAS-induced apoptosis, which in turn leads to dysregulation of lymphocyte homeostasis. ALPS caused by heterozygous mutations in the Fas gene (ALPS Type Ia) make up the majority of identified cases. However, other mutations, namely of the FasL gene (ALPS Type Ib) and the caspase 8 and 10 gene (ALPS Type II) are occasionally detected, whereas some patients do not present any known mutations (ALPS-III). Recently, mutations of the NRAS gene have been suggested to cause ALPS Type IV.",Primary immunodeficiency,"TNFRSF6 (Fas) [HSA:8771] [KO:K05143]
TNFSF6 (Fas ligand) [HSA:356] [KO:K04389]
Caspase 10 [HSA:843] [KO:K04400]
Caspase 8 [HSA:841] [KO:K04398]
N-Ras [HSA:4893] [KO:K07828]
CTLA4 [HSA:1493] [KO:K06538]",,,,,,,OMIM: 601859 603909 614470 607271 616100,"PMID:17999750 (description, gene)
  AUTHORS   Cerutti E, Campagnoli MF, Ferretti M, Garelli E, Crescenzio N, Rosolen A, Chiocchetti A, Lenardo MJ, Ramenghi U, Dianzani U
  TITLE     Co-inherited mutations of Fas and caspase-10 in development of the autoimmune lymphoproliferative syndrome.
  JOURNAL   BMC Immunol 8:28 (2007)
DOI:10.1186/1471-2172-8-28

PMID:16611303 (gene)
  AUTHORS   Worth A, Thrasher AJ, Gaspar HB
  TITLE     Autoimmune lymphoproliferative syndrome: molecular basis of disease and clinical phenotype.
  JOURNAL   Br J Haematol 133:124-40 (2006)
DOI:10.1111/j.1365-2141.2006.05993.x

PMID:17162365 (gene)
  AUTHORS   Kumar A, Teuber SS, Gershwin ME.
  TITLE     Current perspectives on primary immunodeficiency diseases.
  JOURNAL   Clin Dev Immunol 13:223-59 (2006)
DOI:10.1080/17402520600800705

PMID:18424339 (gene)
  AUTHORS   Morra M, Geigenmuller U, Curran J, Rainville IR, Brennan T, Curtis J, Reichert V, Hovhannisyan H, Majzoub J, Miller DT.
  TITLE     Genetic diagnosis of primary immune deficiencies.
  JOURNAL   Immunol Allergy Clin North Am 28:387-412, x (2008)
DOI:10.1016/j.iac.2008.01.004

PMID:17952897 (gene)
  AUTHORS   Geha RS, Notarangelo LD, Casanova JL, Chapel H, Conley ME, Fischer A, Hammarstrom L, Nonoyama S, Ochs HD, Puck JM, Roifman C, Seger R, Wedgwood J.
  TITLE     Primary immunodeficiency diseases: an update from the International Union of Immunological Societies Primary Immunodeficiency Diseases Classification Committee.
  JOURNAL   J Allergy Clin Immunol 120:776-94 (2007)
DOI:10.1016/j.jaci.2007.08.053

PMID:25213377 (gene)
  AUTHORS   Kuehn HS, Ouyang W, Lo B, Deenick EK, Niemela JE, Avery DT, Schickel JN, Tran DQ, Stoddard J, Zhang Y, Frucht DM, Dumitriu B, Scheinberg P, Folio LR, Frein CA, Price S, Koh C, Heller T, Seroogy CM, Huttenlocher A, Rao VK, Su HC, Kleiner D, Notarangelo LD, Rampertaap Y, Olivier KN, McElwee J, Hughes J, Pittaluga S, Oliveira JB, Meffre E, Fleisher TA, Holland SM, Lenardo MJ, Tangye SG, Uzel G
  TITLE     Immune dysregulation in human subjects with heterozygous germline mutations in CTLA4.
  JOURNAL   Science 345:1623-1627 (2014)
DOI:10.1126/science.1255904",OMIM,601859,603909,614470,607271,616100,,,,,,,,,,,,,,,,,,,,,,,,,
H00228,"Thalassemia, including:
Alpha thalassemia;
Beta thalassemia;
Alpha thalassemia, X-linked (ATRX) [DS:H01752]",Thalassemia is the most common hereditary blood disease caused by mutation of genes encoding hemoglobin alpha and beta chains. The anemia that is associated with thalassemia is caused by ineffective erythropoiesis which results from apoptosis of erythroid precursors or hemolysis due to the chain imbalances.,Hematologic disease,"(Alpha) HBA1 [HSA:3039] [KO:K13822]
(Alpha) HBA2 [HSA:3040] [KO:K13822]
(Beta) HBB [HSA:3043] [KO:K13823]
(Beta) HBG1 [HSA:3047] [KO:K13824]
(Beta) HBG2 [HSA:3048] [KO:K13824]
(ATRX) ATRX [HSA:546] [KO:K10779]",,,,,"Deferoxamine [DR:D03670]
Deferasirox [DR:D03669]
Deferiprone [DR:D07416]","The X-linked mental retardation-hypotonic facies syndrome is also caused by mutation in the ATRX gene.
See also H01752 ATR-X syndrome.","ICD-10: D56.0 D56.1 D56.2 D56.4
OMIM: 141750 604131 603902 141800 141900 300448 301040 309580 141749","PMID:18406222
  AUTHORS   Leung WC, Leung KY, Lau ET, Tang MH, Chan V
  TITLE     Alpha-thalassaemia.
  JOURNAL   Semin Fetal Neonatal Med 13:215-22 (2008)
DOI:10.1016/j.siny.2008.02.006

PMID:16162884
  AUTHORS   Rund D, Rachmilewitz E
  TITLE     Beta-thalassemia.
  JOURNAL   N Engl J Med 353:1135-46 (2005)
DOI:10.1056/NEJMra050436

PMID:15660507
  AUTHORS   Schrier SL, Angelucci E
  TITLE     New strategies in the treatment of the thalassemias.
  JOURNAL   Annu Rev Med 56:157-71 (2005)
DOI:10.1146/annurev.med.56.082103.104718

PMID:15561674
  AUTHORS   Cohen AR, Galanello R, Pennell DJ, Cunningham MJ, Vichinsky E
  TITLE     Thalassemia.
  JOURNAL   Hematology Am Soc Hematol Educ Program 14-34 (2004)
DOI:10.1182/asheducation-2004.1.14

PMID:20439494
  AUTHORS   Miccio A, Blobel GA
  TITLE     Role of the GATA-1/FOG-1/NuRD pathway in the expression of human beta-like globin genes.
  JOURNAL   Mol Cell Biol 30:3460-70 (2010)
DOI:10.1128/MCB.00001-10",OMIM,141750,604131,603902,141800,141900,300448,301040,309580,141749,,,,,,,,,,,,,,,,,,,,,
